extId__c,Churn__c,Name,Gender__c,Sentiment__c,MissingMortgagePayments__c,RetentionTeam__c,LifeStage__c
71,No,Hannah Annamalai,Female,Negative,Yes,Engaged,Retired
72,No,Ariyya el-Abdalla,Male,Negative,No,Not Engaged,Single
73,No,Travis John,Female,Positive,Yes,Engaged,Retired
74,No,Kayla Begay,Male,Neutral,Yes,Engaged,Single
75,No,Micah Mcwee,Female,Negative,No,Engaged,Retired
76,No,Yichen Chui,Female,Negative,Yes,Engaged,Retired
77,No,Sydney Guillory,Male,Neutral,No,Not Engaged,Family
78,No,Sheldon Neal,Male,Positive,Yes,Engaged,Family
79,No,David Smullen,Female,Positive,Yes,Engaged,Family
80,No,Shawqi al-Hosein,Male,Positive,No,Not Engaged,Family
81,No,Micayla Martinez,Male,Positive,Yes,Engaged,Family
82,No,Nico Begay,Female,Positive,Yes,Not Engaged,Family
83,No,Aleia Barela,Male,Negative,No,Not Engaged,Family
84,No,Angelo Ybarra,Male,Positive,No,Engaged,Family
85,No,Raakaan al-Rais,Male,Neutral,No,Not Engaged,Retired
86,No,Badruddeen el-Fahmy,Male,Neutral,Yes,Engaged,Single
87,No,Kaci Birch,Male,Negative,Yes,Not Engaged,Retired
88,No,Lauren Atencio,Female,Neutral,Yes,Engaged,Retired
89,No,Moriah Gonzalez,Male,Positive,No,Engaged,Retired
90,No,Ezra Murphy,Male,Negative,No,Engaged,Single
91,No,Donovan Okocha,Female,Positive,Yes,Not Engaged,Family
92,No,Brandon Thomas,Female,Positive,No,Engaged,Single
93,No,Amber Denicola,Male,Positive,Yes,Not Engaged,Retired
94,No,Nathan Sherpa,Female,Neutral,Yes,Engaged,Family
95,No,Nikki Cummings,Male,Neutral,No,Not Engaged,Single
96,No,Najaat al-Hashem,Female,Neutral,No,Not Engaged,Retired
97,No,Neeshaan al-Saleh,Female,Positive,Yes,Not Engaged,Family
98,No,Rakshmai Kennedy,Female,Positive,No,Engaged,Single
99,No,Tara Adler,Female,Negative,No,Engaged,Family
100,No,Jhana Yan,Female,Positive,No,Engaged,Family
101,No,Lynssie Yeon,Female,Positive,Yes,Engaged,Family
102,No,Jamaal el-Sylla,Male,Positive,No,Engaged,Family
103,No,Cody Stegall,Male,Neutral,Yes,Engaged,Family
104,No,Daleel el-Jaber,Female,Neutral,Yes,Engaged,Retired
105,No,Chelsea Tran,Female,Positive,No,Engaged,Family
106,No,Anh Eydi Shahroodi,Male,Neutral,Yes,Engaged,Single
107,No,Aadam el-Habib,Male,Neutral,No,Engaged,Retired
108,No,Shay Brown,Male,Negative,Yes,Not Engaged,Family
109,No,Elijah Mensah,Male,Positive,No,Engaged,Family
110,No,Mark Holeso,Male,Neutral,Yes,Engaged,Retired
111,No,Emily Malik,Female,Neutral,Yes,Not Engaged,Retired
112,No,Jordan Cabrera,Female,Positive,Yes,Not Engaged,Single
113,No,Maria Lucero,Male,Positive,No,Engaged,Family
114,No,Sahheeda el-Nazir,Male,Negative,Yes,Engaged,Single
115,No,Alisha Duran,Female,Negative,No,Not Engaged,Family
116,No,Kevin Vigil,Female,Positive,Yes,Engaged,Retired
117,No,Darius Foster,Male,Positive,Yes,Engaged,Family
118,No,Brianna Brown,Male,Neutral,No,Engaged,Family
119,No,Karlee Moore,Male,Neutral,No,Engaged,Single
120,No,Aatika el-Mahdi,Female,Negative,Yes,Engaged,Retired
121,No,Taaj el-Morad,Male,Positive,No,Engaged,Family
122,No,Teryl Blackbear,Male,Positive,No,Not Engaged,Family
123,No,Leah Griego IV,Male,Neutral,Yes,Engaged,Family
124,No,Adrian Babonoyaba Rodriguez,Female,Positive,No,Not Engaged,Retired
125,No,Zoe Mcwilliams,Male,Negative,Yes,Not Engaged,Retired
126,No,Salwa el-Hashem,Male,Negative,No,Engaged,Family
127,No,Melvin Manriquez,Male,Positive,Yes,Engaged,Family
128,No,Brandon Nichols,Female,Positive,No,Engaged,Single
129,No,Juwan Burgess,Male,Neutral,Yes,Not Engaged,Retired
130,No,Abyad al-Saeed,Female,Neutral,No,Not Engaged,Family
131,No,Steven Xue,Male,Positive,Yes,Engaged,Single
132,No,Austin Siewiyumptewa,Male,Positive,No,Engaged,Retired
133,No,Najwa al-Abbasi,Female,Positive,No,Not Engaged,Retired
134,No,Adeeba al-Jaffer,Female,Neutral,No,Not Engaged,Family
135,No,Nafeesa el-Omer,Female,Negative,No,Engaged,Retired
136,No,Vyncynt Polk,Male,Neutral,Yes,Engaged,Single
137,No,Joshua Dudash,Male,Neutral,Yes,Engaged,Retired
138,No,Muneera al-Bacho,Female,Positive,Yes,Not Engaged,Family
139,No,Nickolas Aulakh,Female,Neutral,No,Engaged,Family
140,No,Erick Jimenez Rocha,Male,Neutral,No,Engaged,Retired
141,No,Benjamin Murphy,Male,Positive,Yes,Engaged,Single
142,No,Kyle Barker,Male,Negative,Yes,Engaged,Retired
143,No,Bruce Dove,Female,Positive,No,Not Engaged,Single
144,No,Allison Bagby,Female,Neutral,No,Not Engaged,Family
145,No,Massiel Marmolejo,Male,Negative,Yes,Not Engaged,Single
146,No,Mustaba al-Rahaim,Female,Negative,No,Not Engaged,Family
147,No,Edna Le,Male,Negative,No,Not Engaged,Family
148,No,Samantha Clingan,Male,Neutral,No,Engaged,Retired
149,No,Jorge Guerrero,Female,Positive,Yes,Not Engaged,Family
150,No,Michael Maki,Male,Positive,No,Not Engaged,Family
151,No,Hafsa al-Hatem,Male,Negative,No,Not Engaged,Family
152,No,Morgan Romero,Male,Positive,No,Engaged,Family
153,No,Daniele Koenig,Male,Negative,Yes,Not Engaged,Family
154,No,Brandon Rowe,Male,Negative,Yes,Engaged,Retired
155,No,Ubaida el-Yusuf,Female,Positive,Yes,Engaged,Family
156,No,Tia Bobb,Female,Neutral,No,Engaged,Single
157,No,Maimoona al-Fayad,Female,Positive,Yes,Engaged,Family
158,No,Sonja Hazlehurst,Female,Positive,No,Engaged,Single
159,No,Amaan el-Rahimi,Female,Positive,Yes,Engaged,Retired
160,No,Justin Camacho,Female,Neutral,No,Engaged,Retired
161,No,Zane O Brien,Male,Positive,Yes,Engaged,Family
162,No,Lia Batorgil,Male,Negative,Yes,Engaged,Family
163,No,Madison Krieger,Female,Neutral,No,Engaged,Retired
164,No,Alexia Jaramillo,Male,Positive,No,Not Engaged,Family
165,No,Justin Leonard,Female,Positive,No,Engaged,Family
166,No,Jack Thompson,Male,Neutral,No,Not Engaged,Single
167,No,Misty Carlson,Female,Negative,No,Engaged,Retired
168,No,Burhaan al-Akhter,Female,Positive,No,Engaged,Family
169,No,Christine Godina,Male,Neutral,No,Not Engaged,Single
170,No,Kami Etsitty,Male,Neutral,No,Not Engaged,Family
171,No,Emily Francis,Male,Neutral,Yes,Engaged,Family
172,No,Zaire Jennings,Male,Neutral,Yes,Not Engaged,Single
173,No,Firdaus el-Ayub,Female,Positive,Yes,Engaged,Retired
174,No,Dayan Lopez,Male,Negative,No,Engaged,Single
175,No,Luigi Dunlap,Female,Positive,Yes,Engaged,Single
176,No,Johnpaul Darity,Female,Positive,No,Engaged,Single
177,No,Kalara Pappas,Male,Neutral,Yes,Not Engaged,Single
178,No,Anna Connor,Male,Negative,Yes,Not Engaged,Family
179,No,Komijen Yee,Male,Positive,Yes,Engaged,Single
180,No,Elijah Medina,Male,Positive,No,Not Engaged,Family
181,No,Bobbie Shepherd,Female,Neutral,No,Not Engaged,Family
182,No,Dylan Mcniff,Female,Positive,No,Engaged,Family
183,No,Ariel Garcia Lozano,Female,Positive,No,Not Engaged,Family
184,No,Amber Merriweather,Female,Positive,No,Engaged,Retired
185,No,Leonarda Goode,Female,Neutral,No,Engaged,Retired
186,No,London Emmerling,Female,Negative,No,Not Engaged,Family
187,No,Warren Revello,Female,Positive,No,Engaged,Family
188,No,Jesse Redmond,Male,Positive,Yes,Not Engaged,Family
189,No,Bishr al-Shafi,Female,Positive,No,Engaged,Single
190,No,Nuha al-Sawaya,Male,Positive,Yes,Not Engaged,Family
191,No,Abhinav An,Female,Neutral,Yes,Not Engaged,Retired
192,No,Alizi Hendrix,Female,Positive,Yes,Engaged,Retired
193,No,Abyad al-Kamara,Female,Positive,No,Engaged,Single
194,No,Edgar Guerrero,Male,Positive,Yes,Not Engaged,Retired
195,No,Sara Brown,Female,Positive,No,Not Engaged,Family
196,No,Shan Hsu,Male,Negative,Yes,Engaged,Retired
197,No,Peter Johnson,Male,Positive,No,Not Engaged,Family
198,No,Daulton Pshichenko,Male,Negative,No,Engaged,Family
199,No,Ruqayya al-Baddour,Female,Negative,Yes,Engaged,Single
200,No,Chelsea Trejo,Female,Negative,No,Not Engaged,Retired
201,No,Trai Dodds,Male,Positive,No,Engaged,Single
202,No,Amanda Alemayehu,Male,Positive,Yes,Engaged,Single
203,No,Jacob Mcbride,Female,Neutral,Yes,Not Engaged,Family
204,No,Ruby Verde,Male,Negative,No,Engaged,Family
205,No,Walter Wu,Female,Negative,Yes,Engaged,Family
206,No,Varun Smith,Male,Neutral,Yes,Engaged,Single
207,No,Ethan Goertzen,Male,Positive,Yes,Engaged,Single
208,No,Alec Maestas,Female,Positive,No,Not Engaged,Retired
209,No,Nigel Chamblin,Male,Neutral,No,Engaged,Family
210,No,Dhaakir el-Farooq,Female,Positive,Yes,Engaged,Retired
211,No,Cassandra Villegas,Female,Positive,Yes,Not Engaged,Single
212,No,Kawehi Rea,Female,Negative,Yes,Engaged,Family
213,No,Domonique Escobedo,Female,Positive,Yes,Engaged,Family
214,No,Autumn Leclaire,Male,Positive,Yes,Not Engaged,Retired
215,No,Rose Etzenhouser,Female,Negative,No,Engaged,Retired
216,No,Adam Gonzalez Martinez,Female,Positive,Yes,Not Engaged,Family
217,No,Jonathan Irwin,Male,Positive,Yes,Not Engaged,Single
218,No,Nhi Faamausili,Female,Positive,No,Engaged,Family
219,No,Isaac Wolfchief,Female,Positive,No,Not Engaged,Family
220,No,Marcus Coyote,Male,Neutral,No,Engaged,Family
221,No,Mikal Barnes,Male,Negative,Yes,Not Engaged,Family
222,No,Benigno Figueroa,Male,Positive,No,Engaged,Single
223,No,Nicolas Gonzalez,Female,Negative,Yes,Not Engaged,Single
224,No,Luaci Quidachay,Male,Positive,No,Engaged,Family
225,No,Samantha Conway,Female,Positive,No,Not Engaged,Family
226,No,Megan Smith,Male,Positive,No,Not Engaged,Single
227,No,Naseem al-Islam,Male,Positive,No,Not Engaged,Family
228,No,Katrina Iron Cloud,Male,Neutral,No,Engaged,Family
229,No,Shelbi King,Male,Neutral,No,Engaged,Family
230,No,Christian Burcher,Female,Positive,Yes,Engaged,Family
231,No,Omar Flores,Male,Neutral,Yes,Engaged,Family
232,No,Nicole Redhorse,Female,Positive,Yes,Engaged,Family
233,No,Hamaama el-Rafiq,Female,Neutral,No,Not Engaged,Family
234,No,Connie Mcadams,Male,Positive,No,Not Engaged,Retired
235,No,Cierra Paxtonlyon,Male,Positive,No,Not Engaged,Retired
236,No,Kingsley Holdridge,Female,Neutral,No,Not Engaged,Family
237,No,Torrey Kim,Male,Positive,No,Not Engaged,Retired
238,No,Colton Lovald,Female,Positive,No,Not Engaged,Retired
239,No,Kelvin Hornbuckle,Male,Neutral,No,Not Engaged,Family
240,No,Jeffrey Roe-Miller,Male,Negative,No,Engaged,Retired
241,No,Biyancah Gay,Female,Positive,No,Engaged,Retired
242,No,David Avila,Female,Neutral,Yes,Engaged,Retired
243,No,Chae Weon Fitzsimmons,Male,Neutral,Yes,Not Engaged,Retired
244,No,Myles Faulkner,Female,Neutral,No,Engaged,Single
245,No,Keyin Spence,Male,Neutral,No,Not Engaged,Single
246,No,Timothy Albani-Burgio,Female,Negative,No,Not Engaged,Retired
247,No,Jacob Miller,Male,Negative,Yes,Engaged,Family
248,No,Edgar Pasillas Rocha,Female,Positive,No,Not Engaged,Single
249,No,Darius Florez,Female,Positive,No,Engaged,Single
250,No,Idrianna Montrey,Female,Neutral,Yes,Engaged,Family
251,No,Sultana el-Miah,Female,Positive,Yes,Not Engaged,Family
252,No,Mubashshir el-Shabazz,Female,Neutral,No,Engaged,Retired
253,No,Benjamin Belveal,Female,Positive,No,Engaged,Retired
254,No,Sonia Ramirez-Cervantes,Female,Positive,No,Engaged,Family
255,No,Alex Grasmick,Male,Neutral,No,Not Engaged,Family
256,No,Raelynn Ranaldi,Female,Positive,Yes,Engaged,Retired
257,No,Luqmaan el-Ramadan,Female,Positive,Yes,Engaged,Family
258,No,Alexandra Mewhinney,Female,Neutral,Yes,Not Engaged,Family
259,No,Jordan Johnson,Male,Neutral,No,Engaged,Single
260,No,Jason Kirby,Male,Positive,Yes,Not Engaged,Single
261,No,Raita al-Nour,Male,Positive,No,Not Engaged,Single
262,No,Isaiah Lopez,Male,Positive,No,Not Engaged,Family
263,No,Ruedi Nelson,Male,Negative,No,Engaged,Family
264,No,Melinda Warat,Male,Neutral,No,Engaged,Family
265,No,Mesha Tootle-Lewis,Male,Neutral,No,Not Engaged,Family
266,No,Alex Morua,Male,Negative,No,Engaged,Retired
267,No,Gage Ross,Male,Negative,Yes,Engaged,Single
268,No,Victor Sawyer,Female,Neutral,No,Engaged,Family
269,No,Bassaam el-Naderi,Female,Positive,No,Engaged,Single
270,No,Marquille German,Female,Neutral,Yes,Engaged,Family
271,No,Michaela Street,Female,Positive,Yes,Engaged,Single
272,No,Laura Baca,Male,Neutral,No,Not Engaged,Family
273,No,Andrea Fuentes,Male,Positive,No,Engaged,Retired
274,No,Olivia Bristow,Male,Neutral,Yes,Not Engaged,Family
275,No,Tatiana Boyd,Male,Positive,No,Engaged,Retired
276,No,Adam Garcia,Female,Neutral,No,Engaged,Single
277,No,Jonathan Gilbert,Female,Neutral,Yes,Not Engaged,Family
278,No,Stephanie Diaz,Male,Negative,Yes,Not Engaged,Retired
279,No,Cy Kerns,Male,Positive,No,Not Engaged,Family
280,No,Phillip Bowman,Male,Positive,Yes,Not Engaged,Family
281,No,Michael Ketchum,Female,Neutral,Yes,Not Engaged,Retired
282,No,Nycole Fitzmier,Male,Neutral,No,Engaged,Family
283,No,Ashleigh Ruvalcaba,Female,Negative,Yes,Not Engaged,Single
284,No,Hannah Thao,Male,Positive,No,Engaged,Retired
285,No,Jalen Wiggins,Male,Neutral,Yes,Engaged,Family
286,No,Dakota Shaw Jr,Male,Positive,Yes,Not Engaged,Family
287,No,Jacob Hernandez,Male,Positive,Yes,Engaged,Retired
288,No,Timothy Reynolds,Male,Negative,Yes,Not Engaged,Family
289,No,Brandi Kreul,Female,Positive,Yes,Engaged,Family
290,No,Daveion Schaffer,Male,Neutral,No,Not Engaged,Family
291,No,Jasmine Gonzales,Female,Positive,Yes,Not Engaged,Retired
292,No,Allison Bauer,Female,Negative,No,Engaged,Family
293,No,Orion Torres,Female,Positive,No,Engaged,Family
294,No,Kayla Perez,Male,Neutral,No,Not Engaged,Family
295,No,Sade Davis,Male,Neutral,No,Engaged,Retired
296,No,Claire Prewitt,Male,Positive,Yes,Engaged,Single
297,No,Dulguun Sayasane,Female,Neutral,No,Engaged,Family
298,No,Ernesto Gamez Barraza,Male,Positive,Yes,Not Engaged,Retired
299,No,Priscilla Little,Male,Positive,No,Engaged,Family
300,No,Deshant Arrington,Male,Neutral,No,Engaged,Family
301,No,Hector Miramontes-Olivas,Male,Positive,No,Engaged,Family
302,No,Noe Renteria,Male,Positive,Yes,Engaged,Family
303,No,Summer Gallegos,Male,Positive,No,Not Engaged,Retired
304,No,Reece Ledesma,Female,Positive,Yes,Not Engaged,Family
305,No,Phong Lowe,Female,Positive,Yes,Engaged,Family
306,No,Linh Maddocks,Male,Neutral,No,Engaged,Retired
307,No,Adam Theiss,Male,Positive,No,Engaged,Family
308,No,Jaquon Green-Bey,Male,Positive,No,Not Engaged,Family
309,No,Meghan Herring,Female,Neutral,Yes,Engaged,Retired
310,No,Sky Crowley,Male,Neutral,No,Engaged,Retired
311,No,Hannah Velez,Female,Positive,No,Engaged,Family
312,No,Mario Scott,Male,Neutral,No,Engaged,Retired
313,No,Ameera el-Shaban,Male,Positive,No,Not Engaged,Single
314,No,Dalayah Curtis,Female,Negative,No,Not Engaged,Single
315,No,Alexander Brown,Female,Positive,No,Not Engaged,Retired
316,No,Zaki al-Ismail,Female,Negative,No,Engaged,Family
317,No,Justine Bledsoe,Female,Negative,No,Engaged,Retired
318,No,Mudrika al-Malik,Female,Positive,No,Engaged,Single
319,No,Jamie Olson,Male,Negative,No,Not Engaged,Family
320,No,Laura Hernandez,Female,Neutral,No,Not Engaged,Single
321,No,Rebecca Dunkin,Male,Positive,Yes,Engaged,Single
322,No,Bianca Long,Male,Positive,Yes,Not Engaged,Family
323,No,Samantha Hernandez,Female,Neutral,No,Not Engaged,Retired
324,No,Haamid el-Abdou,Female,Positive,Yes,Not Engaged,Family
325,No,Lucero Bailon,Male,Negative,No,Engaged,Single
326,No,Justin Gibbs,Female,Negative,Yes,Engaged,Family
327,No,Ghaidaa el-Rais,Female,Neutral,No,Not Engaged,Retired
328,No,Aakif al-Burki,Male,Positive,Yes,Engaged,Single
329,No,Zayra Reyes,Female,Negative,No,Not Engaged,Family
330,No,Madison Lauer,Male,Neutral,Yes,Engaged,Family
331,No,Tharwa al-Aboud,Female,Positive,No,Not Engaged,Single
332,No,Melissa Zarat,Male,Negative,Yes,Engaged,Family
333,No,Faadi el-Riaz,Male,Negative,No,Engaged,Family
334,No,Derrick Corley,Female,Negative,No,Engaged,Family
335,No,Joseph Graham,Male,Neutral,No,Engaged,Family
336,No,Austin Wilson,Female,Positive,Yes,Engaged,Single
337,No,Afeef el-Amara,Male,Positive,No,Not Engaged,Single
338,No,Brandon Summa,Male,Positive,No,Not Engaged,Family
339,No,Muneeb al-Rayes,Male,Neutral,Yes,Engaged,Family
340,No,Jamez Beverly,Male,Negative,No,Engaged,Family
341,No,Kara Tran,Male,Positive,No,Not Engaged,Family
342,No,Cecelia Vigil,Female,Positive,No,Not Engaged,Retired
343,No,Lydia Posey,Female,Negative,No,Not Engaged,Family
344,No,Jeremy Reddy,Male,Positive,No,Engaged,Family
345,No,Rajae Williams,Female,Positive,Yes,Engaged,Family
346,No,Quinn Turner,Female,Positive,No,Not Engaged,Family
347,No,Michael Koch,Female,Positive,No,Not Engaged,Single
348,No,Olivia Iantorno,Female,Positive,No,Not Engaged,Family
349,No,Devin Cardoza,Male,Negative,Yes,Engaged,Family
350,No,Mckenzie Giron-Veliz,Female,Negative,Yes,Not Engaged,Family
351,No,Annnees al-Hanif,Male,Neutral,No,Engaged,Retired
352,No,Sharon Mondia,Male,Positive,No,Engaged,Family
353,No,Jordan Battle,Female,Positive,No,Not Engaged,Single
354,No,Kristen Gerber,Male,Neutral,No,Engaged,Family
355,No,Danica Gast,Male,Neutral,No,Engaged,Family
356,No,Joseph Tress,Male,Positive,Yes,Engaged,Family
357,No,Tiffany Wong,Female,Negative,No,Engaged,Single
358,No,Maria Samuels,Female,Positive,No,Engaged,Family
359,No,Sierra Kim,Female,Positive,Yes,Engaged,Retired
360,No,Simone Line Bell,Female,Positive,Yes,Engaged,Family
361,No,Jory Algien,Female,Positive,No,Engaged,Family
362,No,Wajeeha al-Younes,Male,Positive,No,Engaged,Retired
363,No,Matthew Howe,Female,Neutral,No,Engaged,Family
364,No,Xee Forrey,Male,Positive,No,Not Engaged,Single
365,No,Sara Nguyen,Female,Positive,No,Not Engaged,Single
366,No,Ryan Gallegos,Female,Neutral,No,Not Engaged,Single
367,No,Trenae Scott,Female,Negative,No,Engaged,Single
368,No,Tahleela el-Ashraf,Male,Positive,Yes,Not Engaged,Retired
369,No,Parris Young,Female,Neutral,Yes,Engaged,Family
370,No,Tiffany Cuevas-Gonzalez,Female,Neutral,Yes,Engaged,Family
371,No,Richard Chavez,Female,Negative,Yes,Not Engaged,Retired
372,No,Katherine Rackliff,Female,Negative,No,Engaged,Single
373,No,Van Nguyen,Female,Positive,No,Not Engaged,Single
374,No,Amarjargal Her,Male,Negative,No,Engaged,Single
375,No,Ty Darnell,Female,Positive,Yes,Not Engaged,Family
376,No,Quinton Slay,Female,Positive,Yes,Engaged,Retired
377,No,Janet Meraz-Cadena,Female,Neutral,Yes,Engaged,Retired
378,No,Amy Lee,Female,Negative,No,Not Engaged,Retired
379,No,Matthew Zeissler,Male,Positive,Yes,Engaged,Retired
380,No,Abdul Haadi al-Abdo,Female,Neutral,No,Engaged,Family
381,No,Sumaita el-Amir,Female,Positive,No,Not Engaged,Family
382,No,Bryanna Murtari,Male,Negative,No,Engaged,Family
383,No,Ana Conklin,Male,Positive,No,Engaged,Family
384,No,Reneva Ogbazghi,Female,Neutral,Yes,Engaged,Family
385,No,James Yarian,Male,Negative,Yes,Engaged,Family
386,No,Ramalaan al-Sattar,Male,Positive,No,Engaged,Single
387,No,Brandon Ison,Male,Neutral,No,Engaged,Single
388,No,Mahboob el-Tahir,Female,Positive,No,Not Engaged,Family
389,No,Araceli Gonzales,Male,Positive,No,Engaged,Family
390,No,Ethen Eagle,Female,Positive,Yes,Not Engaged,Family
391,No,Natalie Mascarenas,Male,Negative,No,Not Engaged,Family
392,No,Kabunda Johnson,Male,Positive,Yes,Engaged,Single
393,No,Hannah Burke,Female,Positive,No,Engaged,Family
394,No,Jessica Aikens,Male,Neutral,No,Not Engaged,Single
395,No,Chance Leggett,Female,Positive,Yes,Engaged,Family
396,No,Ramza al-Ghazi,Male,Positive,No,Engaged,Family
397,No,Marvin Matthews,Male,Positive,No,Not Engaged,Retired
398,No,Codee Bouck,Female,Positive,No,Engaged,Single
399,No,Randy Nguyen,Female,Neutral,Yes,Not Engaged,Family
400,No,Fabian Bray Jr,Female,Positive,No,Engaged,Single
401,No,Gerald Hooks,Female,Neutral,No,Engaged,Family
402,No,Dominque Baca,Male,Positive,No,Engaged,Family
403,No,Omar Gomez,Female,Neutral,Yes,Not Engaged,Retired
404,No,Roberto Ponce,Female,Neutral,No,Not Engaged,Family
405,No,Coob Nguyen,Male,Negative,No,Engaged,Retired
406,No,Jacob Tarr,Male,Neutral,No,Engaged,Retired
407,No,Chuck Camacho,Female,Neutral,No,Not Engaged,Single
408,No,Samuel So,Male,Neutral,No,Not Engaged,Family
409,No,Jaime Savage,Male,Negative,Yes,Not Engaged,Family
410,No,Hannah Davis,Male,Positive,Yes,Not Engaged,Retired
411,No,Nguyet Patel,Male,Positive,Yes,Engaged,Family
412,No,Tyler Jacket,Female,Positive,No,Not Engaged,Retired
413,No,Rose Herrington,Male,Negative,No,Not Engaged,Retired
414,No,Faatih al-Galla,Male,Positive,Yes,Engaged,Family
415,No,Alexandra Ramos,Male,Negative,No,Engaged,Family
416,No,Zackarie Warren,Female,Neutral,No,Not Engaged,Retired
417,No,Lizett Canez,Female,Neutral,Yes,Engaged,Retired
418,No,Maxwell Leininger,Female,Neutral,Yes,Not Engaged,Family
419,No,Abdul Qayyoom al-Fayad,Female,Neutral,Yes,Not Engaged,Family
420,No,Alexander Fabian,Male,Positive,Yes,Engaged,Family
421,No,Dillon Phillips,Male,Positive,No,Engaged,Family
422,No,Dillon Graebel,Female,Neutral,Yes,Not Engaged,Family
423,No,Jaque Merz,Male,Neutral,Yes,Not Engaged,Family
